name,url,old_url
"Kota Semarang > LPSE Kota Semarang","https://spse.inaproc.id/semarangkota","https://lpse.semarangkota.go.id"
"Kota Sawahlunto > LPSE Kota Sawahlunto","https://spse.inaproc.id/sawahluntokota","https://lpse.sawahluntokota.go.id"
"Kota Samarinda > LPSE Kota Samarinda","https://spse.inaproc.id/samarindakota","https://lpse.samarindakota.go.id"
"Kota Salatiga > LPSE Kota Salatiga","https://spse.inaproc.id/salatiga","https://lpse.salatiga.go.id"
"Kota Sabang > LPSE Kota Sabang","https://spse.inaproc.id/sabangkota","https://lpse.sabangkota.go.id"
"Kota Probolinggo > LPSE Kota Probolinggo","https://spse.inaproc.id/probolinggokota","https://lpse.probolinggokota.go.id"
"Kota Prabumulih > LPSE Kota Prabumulih","https://spse.inaproc.id/kotaprabumulih","https://lpse.kotaprabumulih.go.id"
"Kota Pontianak > LPSE Kota Pontianak","https://spse.inaproc.id/pontianak","https://lpse.pontianak.go.id"
"Kota Pematangsiantar > LPSE Kota Pematangsiantar","https://spse.inaproc.id/pematangsiantar","https://lpse.pematangsiantar.go.id"
"Kota Pekanbaru > LPSE Kota Pekanbaru","https://spse.inaproc.id/pekanbaru","https://lpse.pekanbaru.go.id"
"Kota Pekalongan > LPSE Kota Pekalongan","https://spse.inaproc.id/pekalongankota","https://lpse.pekalongankota.go.id"
"Kota Payakumbuh > LPSE Kota Payakumbuh","https://spse.inaproc.id/payakumbuhkota","https://lpse.payakumbuhkota.go.id"
"Kota Pasuruan > LPSE Kota Pasuruan","https://spse.inaproc.id/pasuruankota","https://lpse.pasuruankota.go.id"
"Kota Pariaman > LPSE Kota Pariaman","https://spse.inaproc.id/pariamankota","https://lpse.pariamankota.go.id"
"Kota Pare Pare > LPSE Kota Parepare","https://spse.inaproc.id/pareparekota","https://lpse.pareparekota.go.id"
"Kota Pangkal Pinang > LPSE Kota Pangkal Pinang","https://spse.inaproc.id/pangkalpinangkota","https://lpse.pangkalpinangkota.go.id"
"Kota Palu > LPSE Kota Palu","https://spse.inaproc.id/palukota","https://lpse.palukota.go.id"
"Kota Palopo > LPSE Kota Palopo","https://spse.inaproc.id/palopokota","https://lpse.palopokota.go.id"
"Kota Palembang > LPSE Kota Palembang","https://spse.inaproc.id/palembang","https://lpse.palembang.go.id"
"Kota Palangkaraya > LPSE Kota Palangkaraya","https://spse.inaproc.id/palangkaraya","https://lpse.palangkaraya.go.id"
"Kota Pagar Alam > LPSE Kota Pagar Alam","https://spse.inaproc.id/pagaralamkota","https://lpse.pagaralamkota.go.id"
"Kota Padangsidimpuan > LPSE Kota Padang Sidempuan","https://spse.inaproc.id/padangsidimpuankota","https://lpse.padangsidimpuankota.go.id"
"Kota Padang Panjang > LPSE Kota Padang Panjang","https://spse.inaproc.id/padangpanjang","https://lpse.padangpanjang.go.id"
"Kota Padang > LPSE Kota Padang","https://spse.inaproc.id/padang","https://lpse.padang.go.id"
"Kota Mojokerto > LPSE Kota Mojokerto","https://spse.inaproc.id/mojokertokota","https://lpse.mojokertokota.go.id"
"Kota Metro > LPSE Kota Metro","https://spse.inaproc.id/metrokota","https://lpse.metrokota.go.id"
"Kota Medan > LPSE Kota Medan","https://spse.inaproc.id/pemkomedan","https://lpse.pemkomedan.go.id"
"Kota Mataram > LPSE Kota Mataram","https://spse.inaproc.id/mataramkota","https://lpse.mataramkota.go.id"
"Kota Manado > LPSE Kota Manado","https://spse.inaproc.id/manadokota","https://lpse.manadokota.go.id"
"Kota Malang > LPSE Kota Malang","https://spse.inaproc.id/malangkota","https://lpse.malangkota.go.id"
"Kota Makassar > LPSE Kota Makassar","https://spse.inaproc.id/makassar","https://lpse.makassar.go.id"
"Kota Magelang > LPSE Kota Magelang","https://spse.inaproc.id/magelangkota","https://lpse.magelangkota.go.id"
"Kota Madiun > LPSE Kota Madiun","https://spse.inaproc.id/madiunkota","https://lpse.madiunkota.go.id"
"Kota Lubuk Linggau > LPSE Kota Lubuklinggau","https://spse.inaproc.id/lubuklinggaukota","https://lpse.lubuklinggaukota.go.id"
"Kota Lhokseumawe > LPSE Kota Lhokseumawe","https://spse.inaproc.id/lhokseumawekota","https://lpse.lhokseumawekota.go.id"
"Kota Langsa > LPSE Kota Langsa","https://spse.inaproc.id/langsakota","https://lpse.langsakota.go.id"
"Kota Kupang > LPSE Kota Kupang","https://spse.inaproc.id/kupangkota","https://lpse.kupangkota.go.id"
"Kota Kotamobagu > LPSE Kabupaten Bolaang Mongondow Timur","https://spse.inaproc.id/boltimkab","https://lpse.boltimkab.go.id"
"Kota Kendari > LPSE Kota Kendari","https://spse.inaproc.id/kendarikota","https://lpse.kendarikota.net"
"Kota Kediri > LPSE Kota Kediri","https://spse.inaproc.id/kedirikota","https://lpse.kedirikota.go.id"
"Kota Jayapura > LPSE Kota Jayapura","https://spse.inaproc.id/jayapurakota","https://www.lpse.jayapurakota.go.id"
"Kota Jambi > LPSE Kota Jambi","https://spse.inaproc.id/jambikota","https://lpse.jambikota.go.id"
"Kota Gunungsitoli > LPSE Kota Gunungsitoli","https://spse.inaproc.id/gunungsitolikota","https://lpse.gunungsitolikota.go.id"
"Kota Gorontalo > LPSE Kota Gorontalo","https://spse.inaproc.id/gorontalokota","https://lpse.gorontalokota.go.id"
"Kota Dumai > LPSE Kota Dumai","https://spse.inaproc.id/dumaikota","https://lpse.dumaikota.go.id"
"Kota Depok > LPSE Kota Depok","https://spse.inaproc.id/depok","https://lpse.depok.go.id"
"Kota Denpasar > LPSE Kota Denpasar","https://spse.inaproc.id/denpasarkota","https://eproc.denpasarkota.go.id"
"Kota Cirebon > LPSE Provinsi Jawa Barat","https://spse.inaproc.id/jabarprov","https://lpse.jabarprov.go.id"
"Kota Cimahi > LPSE Kota Cimahi","https://spse.inaproc.id/cimahikota","https://lpse.cimahikota.go.id"
"Kota Cilegon > LPSE Kota Cilegon","https://spse.inaproc.id/cilegon","https://lpse.cilegon.go.id"
"Kota Bukittinggi > LPSE Kota Bukittinggi","https://spse.inaproc.id/bukittinggikota","https://www.lpse.bukittinggikota.go.id"
"Kota Bontang > LPSE Kota Bontang","https://spse.inaproc.id/bontangkota","https://lpse.bontangkota.go.id"
"Kota Bogor > LPSE Kota Bogor","https://spse.inaproc.id/kotabogor","https://eproc.kotabogor.go.id"
"Kota Blitar > LPSE Kota Blitar","https://spse.inaproc.id/blitarkota","https://lpse.blitarkota.go.id"
"Kota Bitung > LPSE Kota Bitung","https://spse.inaproc.id/bitungkota","https://lpse.bitungkota.go.id"
"Kota Binjai > LPSE Kota Binjai","https://spse.inaproc.id/binjaikota","https://lpse.binjaikota.go.id"
"Kota Bima > LPSE Kota Bima","https://spse.inaproc.id/bimakota","https://lpse.bimakota.go.id"
"Kota Bengkulu > LPSE Kota Bengkulu","https://spse.inaproc.id/bengkulukota","https://lpse.bengkulukota.go.id"
"Kota Bekasi > LPSE Kota Bekasi","https://spse.inaproc.id/bekasikota","https://lpse.bekasikota.go.id"
"Kota Bau Bau > LPSE Kota Baubau","https://spse.inaproc.id/baubaukota","https://lpse.baubaukota.go.id"
"Kota Batu > LPSE Kota Batu","https://spse.inaproc.id/batukota","https://lpse.batukota.go.id"
"Kota Batam > LPSE Kota Batam","https://spse.inaproc.id/batam","https://lpse.batam.go.id"
"Kota Banjarmasin > LPSE Kota Banjarmasin","https://spse.inaproc.id/banjarmasinkota","https://lpse.banjarmasinkota.go.id"
"Kota Banjarbaru > LPSE Kota Banjarbaru","https://spse.inaproc.id/banjarbarukota","https://lpse.banjarbarukota.go.id"
"Kota Banjar > LPSE Kota Banjar","https://spse.inaproc.id/banjarkota","https://lpse.banjarkota.go.id"
"Kota Bandung > LPSE Kota Bandung","https://spse.inaproc.id/bandung","https://lpse.bandung.go.id"
"Kota Bandar Lampung > LPSE Kota Bandar Lampung","https://spse.inaproc.id/bandarlampungkota","https://lpse.bandarlampungkota.go.id"
"Kota Banda Aceh > LPSE Kota Banda Aceh","https://spse.inaproc.id/bandaacehkota","https://lpse.bandaacehkota.go.id"
"Kota Balikpapan > LPSE Kota Balikpapan","https://spse.inaproc.id/balikpapan","https://lpse.balikpapan.go.id"
"Kota Ambon > LPSE Kota Ambon","https://spse.inaproc.id/ambon","https://lpse.ambon.go.id"
"Komisi Yudisial Ri > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Komisi Pengawas Persaingan Usaha > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Komisi Pemilihan Umum > LPSE Komisi Pemilihan Umum","https://spse.inaproc.id/kpu","https://lpse.kpu.go.id"
"Komisi Pemberantasan Korupsi > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Komisi Nasional Hak Asasi Manusia > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
"Kepolisian Negara Republik Indonesia > LPSE Kepolisian Republik Indonesia","https://spse.inaproc.id/polri","https://lpse.polri.go.id/eproc4"
"Kementerian Sosial > LPSE Kementerian Sosial","https://spse.inaproc.id/kemensos","https://lpse.kemensos.go.id"
"Kementerian Sekretariat Negara > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Kementerian Pertanian > LPSE Provinsi Maluku Utara","https://spse.inaproc.id/malutprov","https://lpse.malutprov.go.id"
"Kementerian Pertanian > LPSE Provinsi Lampung","https://spse.inaproc.id/lampungprov","https://lpse.lampungprov.go.id"
"Kementerian Pertanian > LPSE Provinsi Gorontalo","https://spse.inaproc.id/gorontaloprov","https://lpse.gorontaloprov.go.id"
"Kementerian Pertanian > LPSE Kabupaten Ogan Komering Ilir","https://spse.inaproc.id/kaboki","https://lpse.kaboki.go.id"
"Kementerian Pertanian > LPSE Kabupaten Meranti","https://spse.inaproc.id/merantikab","https://lpse.merantikab.go.id"
"Kementerian Pertahanan > LPSE TNI Angkatan Udara","https://spse.inaproc.id/tni-au","https://lpse.tni-au.mil.id"
"Kementerian Pertahanan > LPSE TNI Angkatan Laut","https://spse.inaproc.id/tnial","https://lpse.tnial.mil.id"
"Kementerian Pertahanan > LPSE Tentara Nasional Indonesia","https://spse.inaproc.id/mabestni","https://lpse.mabestni.mil.id"
"Kementerian Pertahanan > LPSE Kementerian Pertahanan Republik Indonesia","https://spse.inaproc.id/kemhan","https://lpse.kemhan.go.id"
"Kementerian Perindustrian > LPSE Kementerian Perindustrian","https://spse.inaproc.id/kemenperin","https://lpse.kemenperin.go.id"
"Kementerian Perhubungan > LPSE Kementerian Perhubungan","https://spse.inaproc.id/dephub","https://lpse.dephub.go.id"
"Kementerian Perencanaan Pembangunan Nasional > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
"Kementerian Perencanaan Pembangunan Nasional > LPSE BAPPENAS","https://spse.inaproc.id/bappenas","https://lpse.bappenas.go.id"
"Kementerian Perdagangan > LPSE Kota Serang","https://spse.inaproc.id/serangkota","https://lpse.serangkota.go.id"
"Kementerian Perdagangan > LPSE Kota Palopo","https://spse.inaproc.id/palopokota","https://lpse.palopokota.go.id"
"Kementerian Perdagangan > LPSE Kementerian Perdagangan RI","https://spse.inaproc.id/kemendag","https://lpse.kemendag.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Wajo","https://spse.inaproc.id/wajokab","https://lpse-wajokab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Tanjung Jabung Timur","https://spse.inaproc.id/tanjabtimkab","https://lpse.tanjabtimkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Sampang","https://spse.inaproc.id/sampangkab","https://lpse.sampangkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Polewali Mandar","https://spse.inaproc.id/polmankab","https://lpse.polmankab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Pamekasan","https://spse.inaproc.id/pamekasankab","https://lpse.pamekasankab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Padang Lawas Utara","https://spse.inaproc.id/padanglawasutarakab","https://lpse.padanglawasutarakab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Merangin","https://spse.inaproc.id/meranginkab","https://lpse.meranginkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Kebumen","https://spse.inaproc.id/kebumenkab","https://lpse.kebumenkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Kapuas Hulu","https://spse.inaproc.id/kapuashulukab","https://lpse.kapuashulukab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Gianyar","https://spse.inaproc.id/gianyarkab","https://lpse.gianyarkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Demak","https://spse.inaproc.id/demakkab","https://lpse.demakkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Bogor","https://spse.inaproc.id/bogorkab","https://lpse.bogorkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Blora","https://spse.inaproc.id/blorakab","https://lpse.blorakab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Blitar","https://spse.inaproc.id/blitarkab","https://lpse.blitarkab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Bima","https://spse.inaproc.id/bimakab","https://lpse.bimakab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Banyuwangi","https://spse.inaproc.id/banyuwangikab","https://lpse.banyuwangikab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Banggai","https://spse.inaproc.id/banggaikab","https://lpse.banggaikab.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Aceh Utara","https://spse.inaproc.id/acehutara","https://lpse.acehutara.go.id"
"Kementerian Perdagangan > LPSE Kabupaten Aceh Selatan","https://spse.inaproc.id/acehselatankab","https://lpse.acehselatankab.go.id"
"Kementerian Pendidikan Dasar dan Menengah > LPSE Kementerian Pendidikan Dasar dan Menengah","https://spse.inaproc.id/kemendikdasmen","https://lpse.kemendikdasmen.go.id"
"Kementerian Pendayagunaan Aparatur Negara Dan Reformasi Birokrasi > LPSE Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi","https://spse.inaproc.id/menpan","https://lpse.menpan.go.id"
"Kementerian Pemuda Dan Olah Raga > LPSE Provinsi Maluku","https://spse.inaproc.id/malukuprov","https://lpse.malukuprov.go.id"
"Kementerian Pemuda Dan Olah Raga > LPSE Kementerian Pemuda dan Olahraga","https://spse.inaproc.id/kemenpora","https://lpse.kemenpora.go.id"
"Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
